Power Level,Prefix Name,Suffix Name,Attunement,Description
high,Blood Toll,of the Blood Toll,FALSE,"As an action, you can pay a blood toll to this item, exchanging a portion of your current hit points for a boon. For every 5 hit points given to this item, you gain a +1 bonus on your next attack (bonus applies to the damage roll as well), ability check, or saving throw, up to a maximum of +5."
low,Misty,of the Mist,FALSE,"While this item is equipped, you can see clearly through even the thickest fog, smoke, or mist."
low,Pack Leader's,of the Pack Leader,FALSE,"While this item is equipped, you can understand and be understood by wolves and dogs."
low,Dark,of Darkness,FALSE,"This item is an impossibly dark shade of black. While this item is equipped, any open flame no larger than a torch within 10 ft. of you is extinguished."
low,Wraith's,of the Wraith,FALSE,"This item feels lighter than you expect. While this item is equipped, you do not leave footprints."
low,Harlequin's,of Harlequins,FALSE,"This item is painted with vibrant colors. While this item is equipped, you are an expert juggler."
low,Mockingbird's,of the Mockingbird,FALSE,"This item has images of birds painted on it. While this item is equipped, you can perfectly mimic the voice of any creature you've heard within the last 24 hours."
low,Gambler's,of Gambling,FALSE,"While this item is equipped, you can magically pull a real playing card of your choice from your sleeve at will. Any other cards you've created in this manner disappear once you create a new card."
low,Anchored,of Anchoring,FALSE,This item cannot leave the plane of existence on which it was made.
low,Sturdy,of Sturdiness,FALSE,This item cannot be damaged or destroyed by non-magical means.
low,Weary Traveler's,of the Weary Traveler,FALSE,"This item is sturdy and well worn. While this item is equipped, you always know the direction of the nearest inn or tavern."
low,Miner's,of the Mines,FALSE,"While this item is equipped and you are underground, you know the direction of the nearest path to the surface, if any such path exists."
low,Clear Thinking,of Clear Thoughts,FALSE,"While this item is equipped, you cannot become intoxicated from ingesting alcohol."
low,Drunkard's,of the Drunkard,FALSE,"While this item is equipped, you do not suffer any of the effects of a hangover after a night of drinking. This does not prevent you from becoming intoxicated from drinking alcohol."
low,Pickpocket's,of Pickpocketing,FALSE,"While this item is equipped, you know the amount of currency carried by any creature that you can see within 10 feet of you."
low,Commander's,of the Commander,FALSE,"While this item is equipped, you can choose to make your voice carry up to 500 ft."
low,Bright,of Brightness,FALSE,"A bright light shines from this item, shedding bright light for 20 feet and dim light for an additional 20 feet."
low,Chef's,of the Chef,FALSE,"While this item is equipped, you can magically change the flavor of food and beverages that you prepare."
low,Sage,of the Sage,FALSE,"While this item is equipped, you have an encyclopedic knowledge of a subject chosen by your GM (astronomy, baking, botany, sailing, etc.)."
low,Dreamcatcher,of Dream Catching,FALSE,Outside forces cannot tamper with your dreams while you sleep within 5 ft. of this item.
low,Prophetic,of Prophecy,FALSE,"While this item is equipped, you can use an action to predict what the weather will be like in your location for the next 12 hours."
low,Starfall,of the Stars,FALSE,"This item has elements of a meteorite incorporated into its construction. While this item is equipped, you can use an action to determine the direction of the nearest meteorite (excluding this item) within 1,000 ft."
low,Extinguishing,of Extinguishing,FALSE,"As an action, you can use this item to extinguish a non-magical flame no larger than a campfire within 15 ft. of you."
low,Bartender's,of the Bartender,FALSE,"As an action, you can use this item to create up to 5 pints of ale, 5 cups of wine, or 5 shots of whiskey. This feature cannot be used again until the next dawn."
low,Snack Pack,of Snacks,FALSE,"This item has a hidden compartment filled with nuts, dried fruit, or some other kind of snack. If the compartment is empty, it is magically refilled with more small snacks the next dawn."
low,Rainy Day,of the Rainy Day,FALSE,"While this item is equipped, an invisible force diverts falling rain before it hits you, as if it were an invisible umbrella."
low,Fisherman's Lucky,of the Lucky Fisherman,FALSE,"This item is well worn and smells faintly of fish. While this item is equipped, you have advantage on checks made to catch fish or other sea creatures."
low,Musician's,of the Musician,FALSE,"While this item is equipped, you gain proficiency in one instrument of the GM's choice."
low,Loot Goblin's,of the Loot Goblin,FALSE,"As an action, you can use this item to determine the direction of the nearest piece of art, jewel, or collection of currency worth 500 gp or more within 1000 ft. of you."
low,Lost,of the Lost Kingdom,FALSE,"This item bears the cracked or defaced symbol of an ancient kingdom. While this item is equipped, you have advantage on Intelligence(History) checks made to recall lore about ancient kingdoms or civilizations."
low,Dog Person's,of the Dog Person,FALSE,"While this item is equipped, you have advantage on Wisdom(Animal Handling) checks made to interact with dogs or other canines and disadvantage on Wisdom(Animal Handling) checks to interact with cats."
low,Cat Person's,of the Cat Person,FALSE,"While this item is equipped, you have advantage on Wisdom(Animal Handling) checks made to interact with cats and disadvantage on Wisdom(Animal Handling) checks made to interact with dogs or other canines."
low,Napoleon's,of Napoleon,FALSE,"This item appears to be slightly larger than it actually is. While this item is equipped, illusory magic causes you appear to be 1d6 inches taller."
low,Small,of Small Stature,FALSE,"This item appears to be slightly smaller than it actually is. While this item is equipped, illusory magic causes you appear to be 1d6 inches shorter."
low,Elf Kin,of Elf Kin,FALSE,"While this item is equipped, illusory magic causes your facial features to appear more elvish, including pointed ears."
low,Orc Kin,of Orc Kin,FALSE,"While this item is equipped, illusory magic causes your facial features to appear more orcish, including tusks."
low,Dwarf Kin,of Dwarf Kin,FALSE,"While this item is equipped, illusory magic causes your facial features to appear more dwarvish, including a magnificent beard."
low,Human Kin,of Human Kin,FALSE,"While this item is equipped, illusory magic causes your facial features to appear more human, including rounded ears."
low,Dragon Kin,of Dragon Kin,FALSE,"While this item is equipped, illusory magic causes your facial features to appear more draconic (like a dragonborn), including scales."
low,Demon Kin,of Demon Kin,FALSE,"While this item is equipped, illusory magic causes your facial features to appear more demonic (like a tiefling), including horns."
low,Fey,of the Feywild,FALSE,"This item is covered in intricate carvings of flowers and vines. It glows faintly when it is within 100 ft. of a portal to the Feywild, shedding dim, greenish light for 5 ft."
low,Shadowfell,of Shadowfell,FALSE,"This item is a dull grey, as if all its color had been drained. It glows faintly when it is within 100 ft. of a portal to Shadowfell, shedding dim light for 5 ft."
low,Hipster,of Hipsters,FALSE,"While this item is equipped, you always know the direction of the nearest craft brewery."
low,Elemental Fire,of Elemental Fire,FALSE,"This item is made entirely of harmless flames. Despite its strange construction, the item is solid to the touch and functions like a normal item. It glows faintly when it is within 100 ft. of a portal to the elemental plane of fire, shedding dim light for 5 ft."
low,Elemental Earth,of Elemental Earth,FALSE,"This item is made entirely of solid rock. Despite its strange construction, the item is surprisingly light and functions like a normal item. It glows faintly when it is within 100 ft. of a portal to the elemental plane of earth, shedding dim light for 5 ft."
low,Elemental Air,of Elemental Air,FALSE,"This item is made entirely of swirling air and clouds. Despite its strange construction, the item is solid to the touch and functions like a normal item. It glows faintly when it is within 100 ft. of a portal to the elemental plane of air, shedding dim light for 5 ft."
low,Elemental Water,of Elemental Water,FALSE,"This item is made entirely of water. Despite its strange construction, the item is solid to the touch and functions like a normal item. It glows faintly when it is within 100 ft. of a portal to the elemental plane of water, shedding dim light for 5 ft."
low,Paired,of Pairs,FALSE,"This item is paired with another identical item. While this item is equipped, you always know the direction of the other item in the pair."
low,Elderwood,of the Elderwood,FALSE,"This item is made from an old, dark wood. While this item is equipped, you know the direction of the oldest tree within 10 miles of you."
low,Graceful,of Grace,FALSE,"This item is light and well balanced. While this item is equipped, you take no damage from falling 30 ft. or less."
low,Singer's,of Singing,FALSE,"While this item is equipped, you have a lovely singing voice."
low,Stormborn,of the Stormborn,FALSE,"While this item is equipped, you have a +1 bonus to all skill checks made during thunderstorms."
low,Snowborn,of the Snowborn,FALSE,"While this item is equipped, you have a +1 bonus to all skill checks made while it is snowing."
low,Melancholic,of Melancholy,FALSE,"While this item is equipped, you are overcome by a feeling of melancholy."
low,Weather Vane,of the Weather Vane,FALSE,"Each dawn, this item changes color based on the weather patterns of the upcoming day. Blue for foul/stormy, grey for overcast/neutral, or orange for fair/clear."
low,Bro's,of the Bro,FALSE,"While this item is equipped, people tend to view you as a chill dude and a real bro. You have advantage on checks made to interact or blend in with bros, lads, or chill dudes."
low,Fire Speaker's,of the Fire Speaker,FALSE,"While this item is equipped, you can extinguish an open flame you can see within 15 ft. by using your action to make a successful Charisma(Persuasion) or Charisma(Intimidation) check. The DC is 10 for a tiny fire and goes up by 3 for each size category greater than tiny (DC 13 for small, DC 16 for medium, etc.)."
low,Fated,of Fates,FALSE,"While touching this item, you can use an action to speak the name of one creature. If that creature is alive and on the same plane of existence as you the item briefly glows with a faint blue light. This feature cannot be used again until the next dawn."
low,Aquan,of the Aquan,FALSE,"This item is covered in barnacles and sea shells. While this item is equipped, you can understand and be understood by fish and other aquatic beasts."
low,Swiss Army,of the Swiss Army,FALSE,"This item has several small, foldable tools incorporated into its construction. As a bonus action, you can unfold or fold one of the following tools: fork, knife, spoon, screwdriver, small file, small scissors, corkscrew, or bottle opener."
low,Draconic,of Dragons,FALSE,This item was created by a powerful dragon and is infused with some of its power. This item is made from shed dragon scales and talons and grows slightly warm when within 120 ft. of a dragon.
low,Haggling,of Haggling,FALSE,"While this item is equipped, you have advantage on checks made to haggle or negotiate prices."
low,Packrat,of the Packrat,FALSE,"While this item is equipped, your carrying capacity is doubled."
low,Mountain Ranger's,of the Mountain Ranger,FALSE,"This item is camouflaged to blend in with rocky terrain. While this item is equipped, this camouflage extends to you as well, granting you advantage on Dexterity(Stealth) checks made in mountainous or rocky terrain."
low,Forest Ranger's,of the Forest Ranger,FALSE,"This item is camouflaged to blend in with forest terrain. While this item is equipped, this camouflage extends to you as well, granting you advantage on Dexterity(Stealth) checks made in forest or woodland terrain."
low,Tundra Ranger's,of the Tundra Ranger,FALSE,"This item is camouflaged to blend in with snowy terrain. While this item is equipped, this camouflage extends to you as well, granting you advantage on Dexterity(Stealth) checks made in snowy, icy, or tundra terrain."
low,Coastal Ranger's,of the Coastal Ranger,FALSE,"This item is camouflaged to blend in with coastal terrain. While this item is equipped, this camouflage extends to you as well, granting you advantage on Dexterity(Stealth) checks made in coastal or marine terrain."
low,Swamp Ranger's,of the Swamp Ranger,FALSE,"This item is camouflaged to blend in with swampy terrain. While this item is equipped, this camouflage extends to you as well, granting you advantage on Dexterity(Stealth) checks made in swamp or marsh terrain."
low,Desert Ranger's,of the Desert Ranger,FALSE,"This item is camouflaged to blend in with desert terrain. While this item is equipped, this camouflage extends to you as well, granting you advantage on Dexterity(Stealth) checks made in desert or wasteland terrain."
low,Grassland Ranger's,of the Grassland Ranger,FALSE,"This item is camouflaged to blend in with grassland terrain. While this item is equipped, this camouflage extends to you as well, granting you advantage on Dexterity(Stealth) checks made in grassland or plains terrain."
low,Slippery,of Slipperiness,FALSE,"While this item is equipped, you have advantage on checks made to resist or escape being grappled."
low,Diver's,of Diving,FALSE,"While this item is equipped, the amount of time you can hold your breath for is tripled."
low,Green Thumb,of the Green Thumb,FALSE,"While this item is equipped, you have advantage on checks made to identify, grow, or interact with plants."
low,Wasteland,of the Wastes,FALSE,This item draws you in the direction of the nearest natural source of water within 10 miles.
low,Observant,of Observations,FALSE,"While this item is equipped, you are able to see writing that has been obscured or made invisible."
low,Bound,of the Bound,FALSE,This item cannot be removed from your possession against your will.
low,Graceful,of Gracefulness,FALSE,"While this item is equipped, when you take damage from falling, you can use your reaction to reduce the damage from falling by 1d6."
low,Perfectly Balanced,of Perfect Balance,FALSE,"While this item is equipped, you have advantage on checks or saving throws made to keep your balance."
low,Shifting,of Shifting,FALSE,"As an action, you can change this item's appearance to that of another object of a similar size and shape. The change is illusory and does not stand up to physical inspection."
low,Wanderer's,of the Wanderer,FALSE,"While this item is equipped, you can recall and retrace the exact path you've traveled for the last mile."
low,Cavalry,of the Cavalry,FALSE,"While this item is equipped, you have advantage on checks or saving throws made to control or stay mounted upon a creature you are riding."
low,Mirrored,of Mirror Image,FALSE,"This item projects an illusory copy of itself, slightly obfuscating its actual position. Checks made to disarm or steal this item from its owner are made with disadvantage."
low,Runner's,of Running,FALSE,"While this item is equipped, your walking speed increases by 5 ft."
low,Invisible,of Invisibility,FALSE,"While this item is equipped, this item is invisible."
low,Cryptid Hunter's,of the Cryptid Hunter,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about monstrosities."
low,Monster Hunter's,of the Monster Hunter,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about aberrations."
low,Wild Hunt,of the Wild Hunt,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about beasts."
low,Celestial Warden's,of the Celestial Warden,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about celestials."
low,Clockwork Hunter's,of the Clockwork Hunter,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about constructs."
low,Dragon Hunter's,of the Dragon Hunter,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about dragons."
low,Elemental Warden's,of the Elemental Warden,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about elementals."
low,Fey Warden's,of the Fey Warden,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about fey."
low,Demon Hunter's,of the Demon Hunter,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about fiends."
low,Giant Hunter's,of the Giant Hunter,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about giants."
low,Perfect Game Hunter's,of the Perfect Game,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about humanoids."
low,Ooze Exterminator's,of Ooze Extermination,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about oozes."
low,Gardener's,of the Gardener,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about plants."
low,Death Warden's,of the Death Warden,FALSE,"While this item is equipped, you have advantage on checks made to track or recall lore about undead."
medium,Master Alchemist's,of Alchemy,FALSE,"While this item is equipped, you have advantage on checks made using alchemist's supplies."
medium,Master Brewer's,of Brewing,FALSE,"While this item is equipped, you have advantage on checks made using brewer's supplies."
medium,Master Calligrapher's,of Calligraphy,FALSE,"While this item is equipped, you have advantage on checks made using calligrapher's supplies."
medium,Master Carpenter's,of Carpentry,FALSE,"While this item is equipped, you have advantage on checks made using carpenter's tools."
medium,Master Cartographer's,of Cartography,FALSE,"While this item is equipped, you have advantage on checks made using cartographer's tools."
medium,Master Cobbler's,of the Cobbler,FALSE,"While this item is equipped, you have advantage on checks made using cobbler's tools."
medium,Master Chef's,of the Chef,FALSE,"While this item is equipped, you have advantage on checks made using cook's utensils."
medium,Master of Disguise's,of Disguise,FALSE,"While this item is equipped, you have advantage on checks made using a disguise kit."
medium,Master Forger's,of Forgery,FALSE,"While this item is equipped, you have advantage on checks made using a forgery kit."
medium,Master Glassblower's,of the Glassblower,FALSE,"While this item is equipped, you have advantage on checks made using glassblower's tools."
medium,Master Herbalist's,of Herbalism,FALSE,"While this item is equipped, you have advantage on checks made using an herbalism kit."
medium,Master Jeweler's,of the Jeweler,FALSE,"While this item is equipped, you have advantage on checks made using jeweler's tools."
medium,Master Leatherworker's,of Leatherworking,FALSE,"While this item is equipped, you have advantage on checks made using leatherworker's tools."
medium,Master Mason's,of Masonry,FALSE,"While this item is equipped, you have advantage on checks made using mason's tools."
medium,Master Navigator's,of Navigation,FALSE,"While this item is equipped, you have advantage on checks made using navigator's tools."
medium,Master Painter's,of the Painter,FALSE,"While this item is equipped, you have advantage on checks made using painter's supplies."
medium,Master Poisoner's,of Poison,FALSE,"While this item is equipped, you have advantage on checks made using a poisoner's kit."
medium,Master Potter's,of Pottery,FALSE,"While this item is equipped, you have advantage on checks made using potter's tools."
medium,Master Smith's,of the Smith,FALSE,"While this item is equipped, you have advantage on checks made using smith's tools."
medium,Master Thieves',of the Thief,FALSE,"While this item is equipped, you have advantage on checks made using thieves' tools."
medium,Master Tinker's,of the Tinker,FALSE,"While this item is equipped, you have advantage on checks made using tinker's tools."
medium,Master Weaver's,of Weaving,FALSE,"While this item is equipped, you have advantage on checks made using weaver's tools."
medium,Master Woodcarver's,of Woodcarving,FALSE,"While this item is equipped, you have advantage on checks made using woodcarver's tools."
medium,Scribe's,of the Scribe,FALSE,"While this item is equipped, you can comprehend written text no matter the language."
medium,Waterwalking,of Waterwalking,FALSE,"While this item is equipped, you can walk on water as if it was a solid surface."
medium,Toasty,of Toastiness,FALSE,"This item is constantly radiating a dull warmth. While this item is equipped, you do not suffer the negative effects of temperatures as cold as -40 degrees Fahrenheit."
medium,Chill,of Chilliness,FALSE,"This item is always cold to the touch. While this item is equipped, you do not suffer the negative effects of temperatures as hot as 140 degrees Fahrenheit."
medium,Snake Charmer's,of the Snake Charmer,FALSE,"Once per day, you can turn this item into a snake. The snake obeys your commands and lasts for one hour. If the snake is killed it does not revert back to its original form and the item is destroyed."
medium,Leaping,of Leaping,FALSE,"While this item is equipped, the distance and height you can jump is doubled."
medium,Translator's,of Translation,FALSE,"While this item is equipped, you can understand any spoken language."
medium,Flexible,of Flexibility,FALSE,"While this item is equipped, you can grant yourself advantage on one Dexterity(Acrobatics) check. This feature cannot be used again until the next dawn."
medium,Zookeeper's,of the Zookeeper,FALSE,"While this item is equipped, you can grant yourself advantage on one Wisdom(Animal Handling) check. This feature cannot be used again until the next dawn."
medium,Arcanist's,of the Arcanist,FALSE,"While this item is equipped, you can grant yourself advantage on one Intelligence(Arcana) check. This feature cannot be used again until the next dawn."
medium,Athlete's,of the Athlete,FALSE,"While this item is equipped, you can grant yourself advantage on one Strength(Athletics) check. This feature cannot be used again until the next dawn."
medium,Liar's,of Lies,FALSE,"While this item is equipped, you can grant yourself advantage on one Charisma(Deception) check. This feature cannot be used again until the next dawn."
medium,Ancient,of the Ancients,FALSE,"While this item is equipped, you can grant yourself advantage on one Intelligence(History) check. This feature cannot be used again until the next dawn."
medium,Truth Seeking,of the Truth Seeker,FALSE,"While this item is equipped, you can grant yourself advantage on one Wisdom(Insight) check. This feature cannot be used again until the next dawn."
medium,Menacing,of Menacing,FALSE,"While this item is equipped, you can grant yourself advantage on one Charisma(Intimidation) check. This feature cannot be used again until the next dawn."
medium,Inquisitive,of the Inquisition,FALSE,"While this item is equipped, you can grant yourself advantage on one Intelligence(Investigation) check. This feature cannot be used again until the next dawn."
medium,Healer's,of the Healer,FALSE,"While this item is equipped, you can grant yourself advantage on one Wisdom(Medicine) check. This feature cannot be used again until the next dawn."
medium,Wild,of the Wilds,FALSE,"While this item is equipped, you can grant yourself advantage on one Intelligence(Nature) check. This feature cannot be used again until the next dawn."
medium,Eagle's,of Eagles,FALSE,"While this item is equipped, you can grant yourself advantage on one Wisdom(Perception) check. This feature cannot be used again until the next dawn."
medium,Actor's,of the Actor,FALSE,"While this item is equipped, you can grant yourself advantage on one Charisma(Performance) check. This feature cannot be used again until the next dawn."
medium,Silver-Tongued,of the Silver Tongue,FALSE,"While this item is equipped, you can grant yourself advantage on one Charisma(Persuasion) check. This feature cannot be used again until the next dawn."
medium,Devoted,of Devotion,FALSE,"While this item is equipped, you can grant yourself advantage on one Intelligence(Religion) check. This feature cannot be used again until the next dawn."
medium,Sly,of the Sly,FALSE,"While this item is equipped, you can grant yourself advantage on one Dexterity(Sleight of Hand) check. This feature cannot be used again until the next dawn."
medium,Shadow,of Shadows,FALSE,"While this item is equipped, you can grant yourself advantage on one Dexterity(Stealth) check. This feature cannot be used again until the next dawn."
medium,Hunter's,of the Hunt,FALSE,"While this item is equipped, you can grant yourself advantage on one Wisdom(Survival) check. This feature cannot be used again until the next dawn."
medium,Eternal Night,of Eternal Night,FALSE,Magical darkness emanates from this item out to a range of 10 ft. Covering or concealing the item blocks the darkness just as it would block light.
medium,Tracker's,of Tracking,FALSE,This item sheds dim green light for 5 ft. Any footprints or tracks made within the last 24 hours are illuminated by this light.
medium,Volcanic,of Volcanoes,FALSE,This item has cracks that glow the color of lava and is warm to the touch. This item radiates dim light out to a range of 5 ft. All creatures within 5 ft. of the item are unharmed by temperatures as low as -10 degrees Fahrenheit.
medium,Forager's,of Foraging,FALSE,"While this item is equipped, you have advantage on Wisdom(Survival) checks made to forage for food or water."
medium,Climber's,of Climbing,FALSE,"While this item is equipped, you have advantage on Strength(Athletics) checks made to climb."
medium,Field Medic's,of Field Medicine,FALSE,"While this item is equipped, you have advantage on Wisdom(Medicine) checks made to stabilize a dying creature."
medium,Replenishing,of Replenishing,FALSE,"As an action, you can use this item to create 1 gallon of freshwater. This feature cannot be used again until the next dawn."
medium,Catering,of Catering,FALSE,"As an action, you can use this item to create one day's worth of food for one creature."
medium,Purifying,of Purification,FALSE,"While this item is equipped, you have advantage on checks or saving throws made to resist disease."
medium,Sanctified,of Sanctification,FALSE,"While this item is equipped, you have advantage on checks or saving throws made to resist curses."
medium,Nullifying,of Nullification,FALSE,"While this item is equipped, when you take poison damage, you can use your reaction to reduce the poison damage by 1d6."
medium,Grounded,of Grounding,FALSE,"While this item is equipped, when you take lightning damage, you can use your reaction to reduce the lightning damage by 1d6."
medium,Neutralizing,of Neutralization,FALSE,"While this item is equipped, when you take acid damage, you can use your reaction to reduce the acid damage by 1d6."
medium,Insulated,of Insulation,FALSE,"While this item is equipped, when you take cold damage, you can use your reaction to reduce the cold damage by 1d6."
medium,Flame Retardant,of Fire Proofing,FALSE,"While this item is equipped, when you take fire damage, you can use your reaction to reduce the fire damage by 1d6."
medium,Hellish,of the Hells,FALSE,"While this item is equipped, when you take radiant damage, you can use your reaction to reduce the radiant damage by 1d6."
medium,Holy,of the Holy,FALSE,"While this item is equipped, when you take necrotic damage, you can use your reaction to reduce the necrotic damage by 1d6."
medium,Soundproof,of Soundproofing,FALSE,"While this item is equipped, when you take thunder damage, you can use your reaction to reduce the thunder damage by 1d6."
medium,Shielded,of Shielding,FALSE,"While this item is equipped, when you take force damage, you can use your reaction to reduce the force damage by 1d6."
medium,Focused,of the Focused Mind,FALSE,"While this item is equipped, when you take psychic damage, you can use your reaction to reduce the psychic damage by 1d6."
medium,Con Man's,of the Con Man,FALSE,"As an action, you can shift this item's appearance to look neglected (dented, cracked, rusted, etc.), normal (like an average item of its type), or luxurious (pristine, well made, fine materials, etc.). The item functions the same in each form."
medium,Pocket,of the Pocket Dimension,FALSE,"As an action, you can stow or retrieve this item from an extradimensional space. You must be touching the item to stow it and only the person who stowed the item can retrieve it. When retrieving the item, it appears in your hand or in an empty space that you can see within 5 ft. of you."
medium,Critical Success,of Critical Success,FALSE,"While this item is equipped, when a creature you can see within 30 ft. rolls an attack, ability check, or saving throw, you can use your reaction to change the number rolled to a 20. This feature cannot be used again until the next dawn."
medium,Critical Failure,of Critical Failure,FALSE,"While this item is equipped, when a creature you can see within 30 ft. rolls an attack, ability check, or saving throw, you can use your reaction to change the number rolled to a 1. This feature cannot be used again until the next dawn."
medium,Average,of Averages,FALSE,"While this item is equipped, when a creature you can see within 30 ft. rolls an attack, ability check, or saving throw, you can use your reaction to change the number rolled to a 10. This feature cannot be used again until the next dawn."
medium,Untiring,of the Untiring,FALSE,"While this item is equipped, you have advantage on saves made to resist exhaustion or being put to sleep."
medium,Folding,of Folding,FALSE,"As an action, you can repeatedly fold this item, causing it to become a tiny replica of itself that can fit in the palm of your hand and weighing one pound. You can use an action to unfold this item to its original size, provided there is enough unoccupied space within 5 ft. of you to fit the full-sized item."
medium,Greedy,of Greed,FALSE,"As an action, you can bribe this item into helping you. For every 5gp given to this item, you gain a +1 bonus on your next attack, ability check, or saving throw, up to a maximum of +5. Any currency given to this item is absorbed by it and is irretrievable."
medium,Rock Climber's,of Rock Climbing,FALSE,"While this item is equipped, you have a climbing speed of 20 ft."
medium,Nightshade,of the Nightshade,FALSE,"While this item is equipped, you have a +1 bonus to all skill checks made between sunset and sunrise."
medium,Heavy Metal,of Heavy Metal,FALSE,"This item is constantly emanating badass heavy metal music. While this item is equipped, you can grant yourself advantage on one weapon attack per turn but you also have disadvantage on Dexterity(Stealth) checks."
medium,Genteel,of the Gentry,FALSE,"This item bears the crest of an old noble house. While this item is equipped, people tend to view you as upper-class or wealthy. You have advantage on checks made to interact or blend in with nobility, royalty, or the exceptionally wealthy."
medium,Blue Collar,of the Working Class,FALSE,"This item is sturdy and well-worn. While this item is equipped, people tend to view you as a member of the working class or a ""salt of the earth"" person. You have advantage on checks made to interact or blend in with blue collar or working class people."
medium,Red Button,with a Little Red Button,FALSE,"This item has a little red button incorporated into its construction. Pressing the button causes the item to explode, destroying the item. Each creature within 20 ft. of the item must make a DC 13 Dexterity saving throw, taking 6d6 fire damage on a failure or half damage on a success."
medium,Moonsight,of Moonsight,FALSE,"While this item is equipped, you can sense the true form of any shapeshifter you can see within 30 ft."
medium,Curse Detecting,of Curse Detection,FALSE,"While this item is equipped, you can spend 1 minute examining a creature or object within 5 ft. of you. At the end of your examination you learn the nature of any curses affecting that creature or object as well as the type of the creature that bestowed each curse (if applicable)."
medium,Foggy,of Fog,FALSE,"While this item is equipped, you can use an action to create a 20 ft. aura of fog centered on the item. The fog follows the item for 1 minute before dispersing. This feature cannot be used again until the next dawn."
medium,Wise,of Wisdom,FALSE,"While this item is equipped, you can choose to add your Wisdom modifier to an attack, check, or saving throw that you make. You must choose to do so before the roll. This feature cannot be used again until the next dawn."
medium,Intelligent,of Intelligence,FALSE,"While this item is equipped, you can choose to add your Intelligence modifier to an attack, check, or saving throw that you make. You must choose to do so before the roll. This feature cannot be used again until the next dawn."
medium,Charismatic,of Charisma,FALSE,"While this item is equipped, you can choose to add your Charisma modifier to an attack, check, or saving throw that you make. You must choose to do so before the roll. This feature cannot be used again until the next dawn."
medium,Bloodhound,of the Bloodhound,FALSE,"While this item is equipped, your sense of smell is heightened, granting you advantage on Wisdom(Perception) checks that rely on smell. You can also use an action to sniff a creature within 10 ft. of you, learning the creature's type as a result."
medium,Opportunistic,of Opportunity,FALSE,"While this item is equipped, you have advantage on opportunity attack rolls."
medium,Cratering,of Craters,FALSE,"While this item is equipped, when you fall at least 10 ft., you cause the ground to crater around you. Each creature other than you within 20 ft. of the point where you landed must make a DC 12 Dexterity saving throw, taking 1d6 of bludgeoning damage for every 10 ft. you fell on a failure, or half as much damage on a success."
medium,Druidic,of the Druid,FALSE,"This item was created by a powerful druid and is infused with some of their power. While this item is equipped, you know one cantrip of the DM's choice from the druid's spell list and can cast it at will. Wisdom is your spellcasting ability for this spell."
medium,Priest's,of the Priest,FALSE,"This item was created by a powerful cleric and is infused with some of their power. While this item is equipped, you know one cantrip of the DM's choice from the cleric's spell list and can cast it at will. Wisdom is your spellcasting ability for this spell."
medium,Wizard's,of the Wizard,FALSE,"This item was created by a powerful wizard and is infused with some of their power. While this item is equipped, you know one cantrip of the DM's choice from the wizard's spell list and can cast it at will. Intelligence is your spellcasting ability for this spell."
medium,Bardic,of the Bard,FALSE,"This item was created by a powerful bard and is infused with some of their power. While this item is equipped, you know one cantrip of the DM's choice from the bard's spell list and can cast it at will. Charisma is your spellcasting ability for this spell."
medium,Sorcerous,of the Sorcerer,FALSE,"This item was created by a powerful sorcerer and is infused with some of their power. While this item is equipped, you know one cantrip of the DM's choice from the sorcerer's spell list and can cast it at will. Charisma is your spellcasting ability for this spell."
medium,Dark Pact,of the Dark Pact,FALSE,"This item was created by a powerful warlock and is infused with some of their power. While this item is equipped, you know one cantrip of the DM's choice from the warlock's spell list and can cast it at will. Charisma is your spellcasting ability for this spell."
medium,Artificer's,of the Artificer,FALSE,"This item was created by a powerful artificer and is infused with some of their power. While this item is equipped, you know one cantrip of the DM's choice from the artificer's spell list and can cast it at will. Intelligence is your spellcasting ability for this spell."
mundane,Glowing,of Glowing,FALSE,"This item glows faintly, shedding dim light for 5 ft."
mundane,Feral,of the Feral,FALSE,"While this item is equipped, your teeth, eyes, and ears take on slightly more beast-like qualities."
mundane,Winter Wind,of the Winter Wind,FALSE,"This item always has a thin layer of frost coating it. While this item is equipped, you can walk on top of snow and ice without falling through."
mundane,Navigator's,of the Navigator,FALSE,"While this item is equipped, you always know which way is north."
mundane,Iris,of the Iris,FALSE,"While this item is equipped, you can change the color of your eyes at will."
mundane,Thespian's,of the Thespian,FALSE,"While this item is equipped, you can change the color and style of your hair and makeup at will."
mundane,Serpentine,of Serpents,FALSE,"While this item is equipped, you can understand and be understood by snakes and serpents."
mundane,Buoyant,of Buoyancy,FALSE,This item floats on water and other liquids.
