Power Level,Prefix Name,Suffix Name,Description
medium,Hunter's,of the Hunt,"While this item is equipped,, you can grant yourself advantage on one Wisdom(Survival) check. This feature cannot be used again until the next dawn."
medium,Hidden Sun,of the Hidden Sun,"While this item is equipped,, your shadow is cast towards the sun instead of away from it."
medium,Eternal Night,of Eternal Night,Magical darkness emanates from this item out to a range of 10 ft. Covering or concealing the item blocks the darkness just as it would block light.
medium,Tracker's,of Tracking,This item sheds dim green light for 5 ft. Any footprints or tracks made within the last 24 hours are illuminated by this light.
medium,Volcanic,of Volcanoes,This item has cracks that glow the color of lava and is warm to the touch. This item radiates dim light out to a range of 5 ft. All creatures within 5 ft. of the item are unharmed by temperatures as low as -10 degrees Fahrenheit.
medium,Forager's,of Foraging,"While this item is equipped,, you have advantage on Wisdom(Survival) checks made to forage for food or water."
medium,Climber's,of Climbing,"While this item is equipped,, you have advantage on Strength(Athletics) checks made to climb."
medium,Graceful,of Gracefulness,"While this item is equipped,, when you take damage from falling, you can use your reaction to reduce the damage from falling by 1d6."
medium,Perfectly Balanced,of Perfect Balance,"While this item is equipped,, you have advantage on checks or saving throws made to keep your balance."
medium,Field Medic's,of Field Medicine,"While this item is equipped,, you have advantage on Wisdom(Medicine) checks made to stabilize a dying creature."
medium,Replenishing,of Replenishing,"As an action, you can use this item to create 1 gallon of freshwater. This feature cannot be used again until the next dawn."
medium,Catering,of Catering,"As an action, you can use this item to create one day's worth of food for one creature."
medium,Shifting,of Shifting,"As an action, you can change this item's appearance to that of another object of a similar size and shape. The change is illusory and does not stand up to physical inspection."
medium,Purifying,of Purification,"While this item is equipped,, you have advantage on checks or saving throws made to resist disease."
medium,Sanctified,of Sanctification,"While this item is equipped,, you have advantage on checks or saving throws made to resist curses."
medium,Nullifying,of Nullification,"While this item is equipped,, when you take poison damage, you can use your reaction to reduce the poison damage by 1d6."
medium,Grounded,of Grounding,"While this item is equipped,, when you take lightning damage, you can use your reaction to reduce the lightning damage by 1d6."
medium,Neutralizing,of Neutralization,"While this item is equipped,, when you take acid damage, you can use your reaction to reduce the acid damage by 1d6."
medium,Insulated,of Insulation,"While this item is equipped,, when you take cold damage, you can use your reaction to reduce the cold damage by 1d6."
medium,Flame Retardant,of Fire Proofing,"While this item is equipped,, when you take fire damage, you can use your reaction to reduce the fire damage by 1d6."
medium,Hellish,of the Hells,"While this item is equipped,, when you take radiant damage, you can use your reaction to reduce the radiant damage by 1d6."
medium,Holy,of the Holy,"While this item is equipped,, when you take necrotic damage, you can use your reaction to reduce the necrotic damage by 1d6."
medium,Soundproof,of Soundproofing,"While this item is equipped,, when you take thunder damage, you can use your reaction to reduce the thunder damage by 1d6."
medium,Shielded,of Shielding,"While this item is equipped,, when you take force damage, you can use your reaction to reduce the force damage by 1d6."
medium,Focused,of the Focused Mind,"While this item is equipped,, when you take psychic damage, you can use your reaction to reduce the psychic damage by 1d6."
medium,Con Man's,of the Con Man,"As an action, you can shift this item's appearance to look neglected (dented, cracked, rusted, etc.), normal (like an average item of its type), or luxurious (pristine, well made, fine materials, etc.). The item functions the same in each form."
medium,Pocket,of the Pocket Dimension,"As an action, you can stow or retrieve this item from an extradimensional space. You must be touching the item to stow it and only the person who stowed the item can retrieve it. When retrieving the item, it appears in your hand or in an empty space that you can see within 5 ft. of you."
medium,Wanderer's,of the Wanderer,"While this item is equipped,, you can recall and retrace the exact path you've traveled for the last mile."
medium,Cavalry,of the Cavalry,"While this item is equipped,, you have advantage on checks or saving throws made to control or stay mounted upon a beast you are riding."
medium,Mirrored,of Mirror Image,"This item projects an illusory copy of itself, slightly obfuscating its actual position. Checks made to disarm or steal this item from its owner are made with disadvantage."
medium,Runner's,of Running,"While this item is equipped,, your walking speed increases by 5 ft."
medium,Invisible,of Invisibility,"While this item is equipped,, this item is invisible."
medium,Critical Success,of Critical Success,"While this item is equipped,, when a creature you can see within 30 ft. rolls an attack, ability check, or saving throw, you can use your reaction to change the number rolled to a 20. This feature cannot be used again until the next dawn."
medium,Critical Failure,of Critical Failure,"While this item is equipped,, when a creature you can see within 30 ft. rolls an attack, ability check, or saving throw, you can use your reaction to change the number rolled to a 1. This feature cannot be used again until the next dawn."
medium,Average,of Averages,"While this item is equipped,, when a creature you can see within 30 ft. rolls an attack, ability check, or saving throw, you can use your reaction to change the number rolled to a 10. This feature cannot be used again until the next dawn."
medium,Untiring,of the Untiring,"While this item is equipped,, you have advantage on saves made to resist exhaustion or being put to sleep."
medium,Folding,of Folding,"As an action, you can repeatedly fold this item, causing it to become a tiny replica of itself that can fit in the palm of your hand and weighing one pound. You can use an action to unfold this item to its original size, provided there is enough unoccupied space within 5 ft. of you to fit the full-sized item."
medium,Greedy,of Greed,"As an action, you can bribe this item into helping you. For every 5gp given to this item, you gain a +1 bonus on your next attack, ability check, or saving throw, up to a maximum of +5. Any currency given to this item is absorbed by it and is irretrievable."
medium,Cryptid Hunter's,of the Cryptid Hunter,"While this item is equipped,, you have advantage on checks made to track or recall lore about monstrosities."
medium,Monster Hunter's,of the Monster Hunter,"While this item is equipped,, you have advantage on checks made to track or recall lore about aberrations."
medium,Wild Hunt,of the Wild Hunt,"While this item is equipped,, you have advantage on checks made to track or recall lore about beasts."
medium,Celestial Warden's,of the Celestial Warden,"While this item is equipped,, you have advantage on checks made to track or recall lore about celestials."
medium,Clockwork Hunter's,of the Clockwork Hunter,"While this item is equipped,, you have advantage on checks made to track or recall lore about constructs."
medium,Dragon Hunter's,of the Dragon Hunter,"While this item is equipped,, you have advantage on checks made to track or recall lore about dragons."
medium,Elemental Warden's,of the Elemental Warden,"While this item is equipped,, you have advantage on checks made to track or recall lore about elementals."
medium,Fey Warden's,of the Fey Warden,"While this item is equipped,, you have advantage on checks made to track or recall lore about fey."
medium,Demon Hunter's,of the Demon Hunter,"While this item is equipped,, you have advantage on checks made to track or recall lore about fiends."
medium,Giant Hunter's,of the Giant Hunter,"While this item is equipped,, you have advantage on checks made to track or recall lore about giants."
medium,Perfect Game Hunter's,of the Perfect Game,"While this item is equipped,, you have advantage on checks made to track or recall lore about humanoids."
medium,Ooze Exterminator's,of Ooze Extermination,"While this item is equipped,, you have advantage on checks made to track or recall lore about oozes."
medium,Gardener's,of the Gardener,"While this item is equipped,, you have advantage on checks made to track or recall lore about plants."
medium,Death Warden's,of the Death Warden,"While this item is equipped,, you have advantage on checks made to track or recall lore about undead."
mundane,Hive Queen's,of the Hive Queen,"This item always smells faintly of wild flowers. While this item is equipped,, any nearby bees are drawn to you. The bees are not hostile towards you."
mundane,Rainbow,of Rainbows,"While this item is equipped,, you can change its color at will."
mundane,Spider Queen's,of the Spider Queen,"Nearby spiders are drawn to you While this item is equipped,. The spiders are not hostile towards you."
mundane,Meadow,of Meadows,"This item smells of wildflowers and, while equipped, small flowers and plants grow wherever you step."
mundane,Mysterious,of Mystery,"A light fog constantly swirls around your feet While this item is equipped,."
mundane,Clockwork,of the Clockwork,A faint ticking sound can be heard emanating from this item.
mundane,Siren's,of the Siren,The faint sounds of ethereal singing can be heard emanating from this item.
mundane,Sunken,of the Sunken,This item is always covered in barnacles and dripping salt water.
mundane,Buried,of the Buried,Bits of dust and rock are constantly falling from this item.
mundane,Ocean Breeze,of the Ocean Breeze,"While this item is equipped,, your hair and clothing move as if blown by a soft breeze. You are also surrounded by the faint smell of the ocean."
mundane,Featherlight,of Feathers,This item is lighter than expected. While not being worn or carried this item will hover about 3 feet off the ground. It cannot support any weight beyond its own.
mundane,Rat Prince's,of the Rat Prince,"While this item is equipped,, nearby rats and mice are drawn to you. The rats and mice are not hostile towards your or anyone near you."
mundane,Wandering,of Wandering,While not being worn or carried this item will move at a rate of 5 ft. per hour. It always moves in the same direction.
mundane,Watchful,of Watching,This item has a singular eye painted or carved onto its surface. The eye seems to follow the nearest creature it can see.
mundane,Electric,of Electricity,Harmless streaks of electric energy occasionally dance across this item.
mundane,Ethereal,of the Ethereal,"Although solid to the touch, this item is slightly transparent, as though not fully a part of this plane of existence."
mundane,Herald's,of the Herald,"While this item is equipped,, your eyes glow with a bright, white light and your voice sounds as though there is another entity speaking through you."
mundane,Dramatic,of Drama,"While this item is equipped,, your clothes constantly billow as if by a firm breeze."
mundane,Patchwork,of Patches,This item is made from mismatched spare parts salvaged from many other items. It is quite sturdy despite its ramshackle appearance.
mundane,Chameleon,of the Chameleon,"While at rest, this item's appearance changes to perfectly mimic its surroundings."
mundane,Dense,of Density,This item weighs twice as much as a normal item of its type and size.
mundane,Lightweight,of Light Weight,This item weighs half as much as a normal item of its type and size.
mundane,Stained Glass,of Stained Glass,"This item is made of solid, beautiful stained glass. Despite its glass construction, the item is functional and strong, as if made from steel."
mundane,Nature's,of Nature,"This item is made entirely of wood and vines. It looks more like it was grown rather than constructed. Despite its organic construction, the item is functional and strong, as if made from steel."
mundane,Crystalline,of Crystals,"This item is made entirely from clear crystals. Despite its crystalline construction, the item is functional and strong, as if made from steel."
mundane,Bone Collector's,of the Bone Collector,"This item is made entirely from various animal bones. Despite its strange construction, the item is functional and strong, as if made from steel."
mundane,Living Ice,of Living Ice,"This item made entirely of ice. The ice is cool to the touch and does not melt. Despite its strange construction, the item is functional and strong, as if made from steel."
mundane,Flaming,of Flames,"This item is constantly wreathed in harmless, illusory flames."
mundane,Smoldering,of Smoldering,"This item is always warm to the touch and smells faintly of sulfur. While this item is equipped,, harmless smoke constantly rises from it."
mundane,Chitinous,of Chitin,"This item is made from the hard shell or exoskeleton of some kind of creature. Despite its chitinous construction, the item is functional and strong, as if made from steel."
mundane,Charred,of the Fire,"This item is badly burned as if it survived a horrible fire. All attempts to repair it fail. Despite its charred, damaged appearance, the item is functional and strong, as if made from steel."
mundane,Starry,of Stars,"This item is as black as the night sky and, every once in a while, a shooting star will streak across its surface."
mundane,Last Light,of the Last Light,"This item glows faintly, shedding dim light for 5 ft., but only when there are no other light sources available."
mundane,Aberrant,of Aberration,"When this item is viewed from the corner of the eye, it appears to be moving in strange, unnatural ways."
mundane,Far Realm,of the Far Realms,"Each dawn a new, unfamiliar constellation appears carved into this item."
mundane,Confident,of Confidence,"While this item is equipped,, you feel confident in yourself and your abilities."
mundane,Positive,of Positivity,"While this item is equipped,, you feel optimistic about what the future may hold."
mundane,Foul-Mouthed,of the Foul-Mouthed,"While this item is equipped,, curses, swear words, and insults that you say can be understood by anyone who can hear you, provided that they understand at least one language."
mundane,Elf-Cursing,of Elven Curses,"This item has Elven script carved or inscribed upon it. While this item is equipped,, you know several curses and insults from the elven language and can say them as if you were fluent in that language."
mundane,Orc-Cursing,of Orcish Curses,"This item has Orcish writing carved or inscribed upon it. While this item is equipped,, you know several curses and insults from the orcish language and can say them as if you were fluent in that language."
mundane,Dwarf-Cursing,of Dwarven Curses,"This item has Dwarven runes carved or inscribed upon it. While this item is equipped,, you know several curses and insults from the dwarven language and can say them as if you were fluent in that language."
mundane,Gnome-Cursing,of Gnomish Curses,"This item has Gnomish writing carved or inscribed upon it. While this item is equipped,, you know several curses and insults from the gnomish language and can say them as if you were fluent in that language."
mundane,Halfling-Cursing,of Halfling Curses,"This item has Halfling script carved or inscribed upon it. While this item is equipped,, you know several curses and insults from the halfling language and can say them as if you were fluent in that language."
mundane,Giant-Cursing,of Giant Curses,"This item has Giant runes carved or inscribed upon it. While this item is equipped,, you know several curses and insults from the giant language and can say them as if you were fluent in that language."
mundane,Goblin-Cursing,of Goblin Curses,"This item has Goblin writing carved or inscribed upon it. While this item is equipped,, you know several curses and insults from the goblin language and can say them as if you were fluent in that language."
mundane,Outgoing,of the Extrovert,"While this item is equipped,, you feel friendly and talkative."
mundane,True North,of True North,"When this item is left on a flat surface, it slowly turns until it is pointing north."
mundane,Locust Plague,of Locusts,Beetles and other insects are drawn to this item. The insects are not hostile.
mundane,Ant Colony's,of the Colony,Ants are drawn to this item. The ants are not hostile.
mundane,Spicy,of Spicy Foods,"While this item is equipped,, you can consume even the spiciest food without adverse issues."
mundane,Aquan,of Aquan,Fish and other marine animals are drawn to this item.
mundane,Melodramatic,of Dramatic Entrances,"While this item is equipped,, when you open a door, a dramatic wind blows past you through the doorway."
mundane,Fragrant,of Fragrance,"While this item is equipped,, you always smell faintly of sandalwood and vanilla."
mundane,Pristine,of the Pristine,This item never gets dirty.
mundane,Notched,of Notches,"This item has 1d10 notches carved into it when you find it. While this item is equipped,, each time you kill a creature using an attack or spell, another notch magically appears on the item."
mundane,Mood,of Shifting Moods,"While this item is equipped,, this item changes color based on your mood. For example, it may turn red when you're angry, blue when you're sad, green when you're happy, and so on."
mundane,Paradoxical,of the Paradox,"This item is constructed in a way that seems to defy physics or creates some kind of optical illusion when looking at it. Despite its strange construction, the item is functional and strong, as if made from steel."
mundane,Origami,of Origami,"This item seems to be made of folded paper. Despite its strange construction, the item is functional and strong, as if made from iron."
mundane,Matching,of Matching,"This item has a clear gem embedded in it. While this item is equipped,, the gem changes color to match your eyes."
mundane,Fractured,of Fracturing,"This item is broken into several pieces that are held together via an invisible force. Despite its strange construction, the item is functional and strong, as if made of steel."
